bbox,hit1,image_id,intersect1,num_flips,pathology,top_patch_box,top_patch_gx,top_patch_gy
"[95, 169, 417, 637]",0,67509_1,0,12,Consolidation,"[512, 0, 768, 256]",2,0
"[92, 255, 359, 737]",1,67520_0,1,4,Consolidation,"[0, 256, 256, 512]",0,1
"[550, 324, 803, 786]",0,58689_0,0,11,Consolidation,"[0, 0, 256, 256]",0,0
"[564, 137, 852, 869]",0,68970_3,0,1,Consolidation,"[256, 256, 512, 512]",1,1
,0,70380_1,0,0,Consolidation,,,
,0,70007_0,0,0,Consolidation,,,
"[653, 231, 782, 361]",0,46986_6,0,12,Consolidation,"[0, 0, 256, 256]",0,0
"[135, 308, 433, 747]",1,45926_7,1,1,Consolidation,"[256, 512, 512, 768]",1,2
"[507, 155, 828, 845]",0,45843_0,0,13,Emphysema,"[0, 0, 256, 256]",0,0
"[150, 62, 488, 925]",1,41752_3,1,2,Emphysema,"[256, 256, 512, 512]",1,1
"[553, 235, 702, 589]",0,41798_1,0,1,Fibrosis,"[256, 256, 512, 512]",1,1
"[228, 20, 476, 415]",1,42351_1,1,1,Fibrosis,"[256, 256, 512, 512]",1,1
"[596, 318, 816, 684]",0,39697_1,0,8,Fibrosis,"[256, 256, 512, 512]",1,1
"[167, 160, 421, 646]",1,70438_2,1,2,Fibrosis,"[256, 256, 512, 512]",1,1
,0,41503_1,0,0,Fibrosis,,,
"[360, 416, 469, 588]",0,39697_0,0,1,Mass,"[768, 256, 1024, 512]",3,1
"[232, 559, 412, 747]",0,46923_4,0,4,Mass,"[256, 256, 512, 512]",1,1
"[641, 418, 747, 528]",0,57555_0,0,3,Mass,"[256, 256, 512, 512]",1,1
